iter	Passed	Remaining
0	1	128
1	2	127
2	3	126
3	4	115
4	6	116
5	7	114
6	8	112
7	9	111
8	10	111
9	12	110
10	13	109
11	14	107
12	16	107
13	17	105
14	18	103
15	19	102
16	21	102
17	22	101
18	23	100
19	24	99
20	26	98
21	27	96
22	28	95
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	35	87
29	36	86
30	38	85
31	39	83
32	40	82
33	41	81
34	43	80
35	44	79
36	45	77
37	46	76
38	48	75
39	49	74
40	50	72
41	50	70
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	57	62
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	71	49
59	72	48
60	73	47
61	74	45
62	75	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	83	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	111	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	119	2
98	120	1
99	121	0
